Freq	Int 	Phase
-5.56208e+14	8.17736e-18	0.811746
-5.5572e+14	2.72486e-17	1.56802
-5.55232e+14	4.76606e-17	2.17403
-5.54743e+14	3.95731e-18	0.698023
-5.54255e+14	5.55362e-18	2.74542
-5.53767e+14	1.95503e-18	0.969284
-5.53279e+14	2.34182e-17	2.12798
-5.5279e+14	7.16357e-19	0.115188
-5.52302e+14	4.81648e-18	0.0190277
-5.51814e+14	3.42721e-17	1.53977
-5.51325e+14	1.07102e-17	1.13399
-5.50837e+14	1.48842e-17	-0.0031255
-5.50349e+14	1.113e-17	0.905514
-5.49861e+14	4.9532e-18	0.0124916
-5.49372e+14	1.12851e-17	2.01153
-5.48884e+14	1.08491e-17	-1.18685
-5.48396e+14	2.64328e-17	-0.519684
-5.47907e+14	2.96589e-17	-0.211931
-5.47419e+14	2.1785e-17	0.143976
-5.46931e+14	5.55317e-20	-0.468339
-5.46443e+14	1.89995e-17	1.57813
-5.45954e+14	1.12198e-17	1.24165
-5.45466e+14	3.15896e-17	1.33889
-5.44978e+14	4.69733e-17	-1.1867
-5.44489e+14	4.16989e-18	0.0594698
-5.44001e+14	8.79582e-18	-1.05283
-5.43513e+14	1.47634e-17	0.504991
-5.43025e+14	1.93717e-17	-0.396852
-5.42536e+14	3.49911e-17	0.713898
-5.42048e+14	9.18718e-18	0.621867
-5.4156e+14	3.66299e-17	1.35263
-5.41071e+14	1.90561e-17	-2.10086
-5.40583e+14	9.86376e-18	0.00511305
-5.40095e+14	1.64626e-17	-2.15261
-5.39607e+14	5.16524e-18	0.502912
-5.39118e+14	4.48387e-19	0.911451
-5.3863e+14	1.84599e-17	0.60447
-5.38142e+14	9.89471e-18	0.72455
-5.37654e+14	7.59577e-17	1.16141
-5.37165e+14	4.47915e-17	-2.93569
-5.36677e+14	3.4573e-17	-2.05206
-5.36189e+14	1.58416e-17	2.43971
-5.357e+14	1.89968e-17	1.16372
-5.35212e+14	3.4268e-18	-1.36786
-5.34724e+14	1.02624e-17	1.13198
-5.34236e+14	1.16614e-17	-0.57576
-5.33747e+14	4.51969e-17	1.45202
-5.33259e+14	1.78976e-17	3.00821
-5.32771e+14	1.40395e-17	-2.96274
-5.32282e+14	7.44181e-18	-2.66174
-5.31794e+14	3.36907e-17	3.083
-5.31306e+14	1.4994e-18	0.453562
-5.30818e+14	1.23648e-18	-2.56822
-5.30329e+14	4.75182e-18	-0.921233
-5.29841e+14	9.28105e-18	0.873557
-5.29353e+14	3.22302e-17	-2.9197
-5.28864e+14	1.48296e-17	-2.90773
-5.28376e+14	1.11596e-17	-2.98942
-5.27888e+14	1.40689e-17	3.03452
-5.274e+14	1.6985e-17	-2.83304
-5.26911e+14	1.95956e-18	-2.73205
-5.26423e+14	8.37593e-18	-2.75428
-5.25935e+14	1.66438e-17	1.81867
-5.25446e+14	7.65758e-17	2.93031
-5.24958e+14	4.76064e-17	-3.09061
-5.2447e+14	4.537e-17	-3.05259
-5.23982e+14	5.64206e-17	2.69794
-5.23493e+14	5.67971e-18	-2.42667
-5.23005e+14	1.77806e-17	-2.4744
-5.22517e+14	1.53382e-17	-2.53407
-5.22029e+14	2.00168e-18	-2.70039
-5.2154e+14	4.05489e-17	-2.87704
-5.21052e+14	5.01278e-17	-2.84192
